title,price_gbp,rating
Blood Defense (Samantha Brinkman #1),20.3,3
"Love, Lies and Spies",20.55,2
Between Shades of Gray,20.79,5
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4
Voyager (Outlander #3),21.07,5
The Silkworm (Cormoran Strike #2),23.05,5
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1
Career of Evil (Cormoran Strike #3),24.72,2
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5
Extreme Prey (Lucas Davenport #26),25.4,3
Starlark,25.83,3
"1,000 Places to See Before You Die",26.08,5
Girl With a Pearl Earring,26.77,1
Poisonous (Max Revere Novels #3),26.8,3
The Widow,27.26,2
Lost Among the Living,27.7,4
The Marriage of Opposites,28.08,4
The Passion of Dolssa,28.32,5
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3
Mrs. Houdini,30.25,5
The Great Railway Bazaar,30.54,1
World Without End (The Pillars of the Earth #2),32.97,4
The Secret Healer,34.56,3
Most Wanted,35.28,3
The Red Tent,35.66,5
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2
The House by the Lake,36.95,1
Under the Tuscan Sun,37.33,3
The Invention of Wings,37.34,1
In the Woods (Dublin Murder Squad #1),38.38,2
Neither Here nor There: Travels in Europe,38.95,3
A Paris Apartment,39.01,4
