title,rating,price_gbp
"1,000 Places to See Before You Die",5,26.08
A Time of Torment (Charlie Parker #14),5,48.35
What Happened on Beale Street (Secrets of the South Mysteries #2),5,25.37
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,52.3
The Silkworm (Cormoran Strike #2),5,23.05
The Girl You Lost,5,12.29
A Flight of Arrows (The Pathfinders #2),5,55.53
Mrs. Houdini,5,30.25
The Passion of Dolssa,5,28.32
Voyager (Outlander #3),5,21.07
The Red Tent,5,35.66
Between Shades of Gray,5,20.79
While You Were Mine,5,41.32
A Spy's Devotion (The Regency Spies of London #1),5,16.97
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,4,49.43
A Year in Provence (Provence #1),4,56.88
Sharp Objects,4,47.82
The Past Never Ends,4,56.5
The Murder of Roger Ackroyd (Hercule Poirot #4),4,44.1
Murder at the 42nd Street Library (Raymond Ambler #1),4,54.36
Delivering the Truth (Quaker Midwife Mystery #1),4,20.89
The Mysterious Affair at Styles (Hercule Poirot #1),4,24.8
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,57.7
The Marriage of Opposites,4,28.08
A Paris Apartment,4,39.01
World Without End (The Pillars of the Earth #2),4,32.97
Lost Among the Living,4,27.7
